Best,90th,Median,Worst
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3926
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3828,3927
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3827,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3828
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
3825,3826,3827,3829
